"ID","Created Date","Updated Date","Owner","project","slug","team","projectLead","completionDate","status","projectType","Project Details - Admin","company","brief","contact","Project Details - Client","lead","confirmation","productionBudget","documentation","projectCompletionForm","docSigned","projSigned","Project Calendar - Admin","statsSheet","link-projects-project","Project Calendar - Client"
"16310069-4b1f-4099-bcbc-ceadaf6e261f",2024-03-07T10:25:33Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","GPW - Website Design & Development","740393","[""a3efb115-821a-43d3-94ad-afc4382a24df""]",,2024-04-24T20:00:00Z,"Cancelled","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/740393","11ef8f2b-4a96-49bb-84ad-20dfceab4010",,"c1db6ccc-7af5-4556-8122-9d2fd00a43e8","/project/740393","a3efb115-821a-43d3-94ad-afc4382a24df",true,0,,,,,"/dashboard-calendar/740393",,"740393","/calendar/740393"
"182e5528-5ab6-4b96-ae89-d1f2e63219be",2023-08-22T13:07:03Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","The Cake Boutique - Web Design & Development","38875","[""bbfbe5c1-1ef3-4166-bdf4-96fc3f1e7255"",""5c084634-6869-4e43-a13e-fbede7b594d4""]",,2024-05-14T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/38875","734506c8-4e02-428f-92a5-1f1a96a7cd28","<p>Client</p><p>Waldorf Astoria</p><p>Editor X – Website Migration</p><p>Date: 3rd August 2023 Quotation 2023-017.3</p><p>Corporate Portfolio Website: peacockalleydifc.com</p><p>Scope Description</p>","d911a775-b8bb-474b-b9e9-aa7761832852","/project/38875","5c084634-6869-4e43-a13e-fbede7b594d4",true,2100,,,,,"/dashboard-calendar/38875",,"38875","/calendar/38875"
"1b2f16d7-192d-4d10-88a5-0fb18eb4967a",2024-09-16T06:37:13Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","ATEX International Exhibitions 2025 - Social Media Marketing & SEO","439475","[""a0e512da-decd-4d6e-9631-2e8896f892c0"",""a1bf0c8d-7413-4891-861f-f83c093a57ef"",""01aa1d8a-504c-4f74-b0eb-16e63261cb39"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""36572779-d5f3-48c8-b437-cfa2e729351b"",""9f3c0fa1-d627-46e1-af60-4cb88b4e682c"",""88bc7725-fe57-48c6-8b0d-8a63d1304032"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f""]",,2025-12-30T20:00:00Z,"In Progress","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/439475","f9c4b9cf-50cd-44a2-ba40-f853a021b41f",,"2969a5b1-27f4-4a9e-bde4-8ee5ecf4dd85","/project/439475","5c084634-6869-4e43-a13e-fbede7b594d4",false,0,,,,,"/dashboard-calendar/439475",,"439475","/calendar/439475"
"1bd83110-97e3-4ed5-8113-73334a145e28",2022-11-20T21:04:51Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Luxury StayCation - Branding","70218","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""8055f94c-ed6b-43cf-b3aa-659c790942a8""]",,2022-11-21T20:00:00Z,"Completed","86776c2e-a39f-43eb-8db3-02b55daceb08","/dashboard-project/70218","1cb8a8b7-fbd7-4531-be0a-d0c91a0e09f0",,"c033269c-c45b-4967-9421-97e9e33f982e","/project/70218","5c084634-6869-4e43-a13e-fbede7b594d4",,0,,,,,"/dashboard-calendar/70218",,"70218","/calendar/70218"
"1c4e95c6-0224-4b83-a7b5-c95c8d87ee28",2025-06-02T10:14:23Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","POB1 - SEO Management 2025","27805","[""86b14473-f7c1-45b3-abba-dacc255875fe"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""c0215e98-e7a9-4f3b-9af7-33d644f289fa""]",,2025-12-29T20:00:00Z,"Completed","b4bae6d3-75e5-458b-8188-ced2388e559d","/dashboard-project/27805","e2b67c24-6545-4ed4-953f-06c53d8f6e6b","<p>Monthly SEO Deliverables</p>","c8bb8fd9-7aa1-477a-ae96-453d0814ebcd","/project/27805","c0215e98-e7a9-4f3b-9af7-33d644f289fa",true,0,,,,,"/dashboard-calendar/27805",,"27805","/calendar/27805"
"1c5ed96e-b3bd-49f7-a1b3-4c884e7449a7",2024-01-24T16:47:58Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","II Resources Network - Branding","352951","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""ccd8178e-6954-4b63-9ea3-6f8c601b9580""]",,2024-02-02T20:00:00Z,"Cancelled","86776c2e-a39f-43eb-8db3-02b55daceb08","/dashboard-project/352951","2efc4a99-f8c9-4b25-b8fd-463c8f13cad2",,"c4b98c39-0f0b-4644-9f23-c692f4c2c469","/project/352951","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,"ff7f3ba9-c47d-4619-bd74-f89119293963",,,,"/dashboard-calendar/352951",,"352951","/calendar/352951"
"1e7f71c1-d109-415b-a625-22b3ace88881",2023-02-07T09:36:41Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Heritage Business Group - Shopify Plus API ","40162","[""77c8d6d6-afd6-42d7-ac13-78bdda0d9926"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f""]",,2023-02-20T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/40162","55bfa58a-2dc6-43ef-b1e0-916de917c8ab","<p><span style=""font-weight:bold""><span style=""font-style:italic"">One Time Costs - API Integration [REVISED]</span></span></p><p>Scopes</p><p>Total Hours</p><p>Cost</p><p><span style=""font-weight:bold"">API</span></p><p><span style=""font-weight:bold"">4</span></p><p><span style=""font-weight:bold"">1000</span></p><p>API Examination</p><p>4</p><p>1000</p><p><span style=""font-weight:bold"">Shopify</span></p><p><span style=""font-weight:bold"">60</span></p><p><span style=""font-weight:bold"">15000</span></p><p>API Modification</p><p>16</p><p>4000</p><p>API Installation</p><p>8</p><p>2000</p><p>API Testing</p><p>16</p><p>4000</p><p>Webhook Creation   &amp; Setup</p><p>8</p><p>2000</p><p>Webhook Integration   with API &amp; Shopify</p><p>12</p><p>3000</p>","be26d144-be49-433e-b152-a1c113a264cc","/project/40162","77c8d6d6-afd6-42d7-ac13-78bdda0d9926",true,0,,,,,"/dashboard-calendar/40162",,"40162","/calendar/40162"
"1f3ad647-34e0-4e07-aee5-a11c02b0bff9",2025-05-29T11:46:58Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Siniya Island - Performance Marketing","77908","[""d1b97619-3275-4566-8d13-6b76d35ad1fb"",""86b14473-f7c1-45b3-abba-dacc255875fe"",""5c084634-6869-4e43-a13e-fbede7b594d4"",""8055f94c-ed6b-43cf-b3aa-659c790942a8"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f"",""77c8d6d6-afd6-42d7-ac13-78bdda0d9926""]",,2025-07-28T20:00:00Z,"Completed","b4bae6d3-75e5-458b-8188-ced2388e559d","/dashboard-project/77908","56eac7e9-af94-47c0-b4b1-2a4101a9b0c1","<p>Siniya Island Ad Campaign</p><p>Platforms: </p><ul><li>Google</li><li>Programmatic</li><li>YouTube</li><li>Linkedin</li></ul><p> </p>","04be3f3e-1786-4d4b-a1cc-743721b3c18c","/project/77908","86b14473-f7c1-45b3-abba-dacc255875fe",true,0,,,,,"/dashboard-calendar/77908",,"77908","/calendar/77908"
"1fa119a3-24d0-4ec2-a2ea-299f713dace4",2022-11-28T18:24:05Z,2025-12-05T16:23:24Z,"e168cbe8-c8cb-4ec3-b920-be764ec09acc","Kaia Web Development","31337","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""a3efb115-821a-43d3-94ad-afc4382a24df"",""8055f94c-ed6b-43cf-b3aa-659c790942a8""]",,2022-11-17T20:00:00Z,"Completed","ece86a13-c171-41db-a0f2-537ffdfca451","/dashboard-project/31337","f40bcbe9-a19f-4742-ab8a-56d19afdde07",,"e61b515e-d352-441b-b388-da2a80819e75","/project/31337","5c084634-6869-4e43-a13e-fbede7b594d4",,0,,,,,"/dashboard-calendar/31337",,"31337","/calendar/31337"
"20cad3a3-c682-432f-a530-448c8a803d70",2024-04-01T09:48:10Z,2025-12-05T16:23:24Z,"01f011dc-8d52-4de4-9524-780ccef3313b","Ride Skipper - Social Media Marketing","424818","[""5c084634-6869-4e43-a13e-fbede7b594d4"",""144e9bd2-9ce5-4a4a-8708-dd5671829b1f""]",,2024-04-30T20:00:00Z,"Cancelled","3dfa2732-4093-4a45-b4a4-661907aeb0ef","/dashboard-project/424818","a4951bc6-bc11-4719-918b-1c0361369e6f",,"05d391b7-ffaa-45a4-8827-6d519c92a5fd","/project/424818","5c084634-6869-4e43-a13e-fbede7b594d4",true,0,"95677b5d-eb96-4c26-b594-774546e75e11",,,,"/dashboard-calendar/424818",,"424818","/calendar/424818"
