"Title","ID","Created Date","Updated Date","Owner","project","platform","month","year","amount","notes","addedToBoost","Company"
,"34ddb75c-a9bf-421b-999a-b2cb99582bfd",2025-10-01T09:39:27Z,2025-10-01T09:39:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","9","2025",55,,,"Libya Build"
,"3509cfd8-61d4-4fbb-b01e-a955336b85de",2025-10-01T09:38:38Z,2025-10-01T09:38:41Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","9","2025",55,,,"Code DXB"
,"383b8bcd-4468-4b2d-b0d3-b69c34ee741d",2026-02-17T08:42:57Z,2026-02-17T08:43:24Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Media Mister","8","2025",2500,,,"Kuwait Build"
,"39e336f8-c95d-4ff2-b70e-84270d734d83",2025-11-24T07:16:48Z,2025-11-24T07:16:51Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Many Chat","10","2025",55,,,"Flavour Fest"
,"41e14ca3-ca6a-4b97-936f-a55e9017de9d",2025-09-20T12:39:01Z,2025-09-20T12:41:02Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Many Chat","8","2025",55,,,"Libya Build"
,"4234dc57-9090-4b41-a3b4-847d206b2fc9",2026-02-17T08:47:09Z,2026-02-17T08:47:11Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Media Mister","10","2025",2500,,,"Kuwait Build"
,"434fd037-42c0-42ba-ba5b-711ad6c42be6",2026-02-17T08:50:50Z,2026-02-17T08:50:53Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","0","2026",100,,,"Libya Build"
,"4509c9a1-75ec-4aa7-9102-2a01c639be32",2025-08-16T11:57:57Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Many Chat","7","2025",55,,true,
,"48f8b1ca-6374-4edd-ba3f-9ccf4456b290",2026-02-22T07:55:54Z,2026-02-22T07:55:57Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","fe578398-ead8-4e5c-902c-1ba9d28746b3","Many Chat","1","2026",55,,,"Canterra Properties"
,"4906c741-5c24-4d0b-ad93-8add5df4b056",2026-02-17T08:48:49Z,2026-02-17T08:48:52Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Media Mister","11","2025",2500,,,"Code Libya"
,"4b9f87fe-f59b-4976-9606-b99e70537494",2026-02-22T07:52:42Z,2026-02-22T07:52:54Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Many Chat","1","2026",55,,,"Flavour Fest"
,"4be6bd77-74cb-49f8-bde2-f678c7018bcc",2026-02-09T20:08:21Z,2026-02-09T20:08:32Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","160e00a4-309a-40b8-aec3-1635e37cf211","Meta Verified","10","2025",100,,,"Kuwait Build"
,"4d169c89-c27a-49dc-b106-e24144966677",2026-02-22T07:51:03Z,2026-02-22T07:51:05Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","e423744b-213d-42a0-9c8b-bdb05a3187aa","Meta Verified","1","2026",100,,,"Libya Build"
,"4e63653c-611c-4266-ac71-fd236b057b92",2025-09-20T12:05:31Z,2026-01-22T13:41:43Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","f889f811-6e7f-489d-a7de-dee3fc249d28","Many Chat","0","2026",55,,,"Mutant"
,"502b22f9-6347-4c32-a3c3-602bf81c91f8",2026-02-22T07:56:16Z,2026-02-22T07:56:18Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","1212678d-037b-475a-b187-a27821e2d3c8","Many Chat","1","2026",55,,false,"Airstay Holiday Homes"
,"551d2648-e8da-42d9-9a8a-57594dd9d5aa",2025-11-24T07:16:36Z,2025-11-24T07:16:39Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","b7444ad8-e438-49ce-b78a-df4a2ed60dd8","Many Chat","10","2025",55,,,"Code DXB"
,"57d458d9-d2bb-41a4-bda8-f2638d1dbefd",2025-08-16T11:49:43Z,2025-08-25T18:46:31Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","cf43c9d2-0680-46a6-bfb1-614177099a56","Facebook Page Like","7","2025",775,,,
,"591e1555-ceff-401c-ae6c-6053b25e61a8",2025-11-24T07:15:08Z,2025-11-24T07:15:23Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","90f5bb8e-1da9-441f-b63b-1941b663318b","Meta Verified","10","2025",46.99,,,"Crypto Homes DXB"
,"5c02d080-0cc9-4115-9501-0a4c51dd4057",2025-11-24T07:16:08Z,2025-11-24T07:16:11Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","c27ec391-f198-49d2-a60e-6a3516fb252b","Many Chat","10","2025",55,,,"Horeca Libya"
,"5c3b16ef-9147-4ca1-9bcb-51a485e1e14e",2026-02-17T08:47:20Z,2026-02-17T08:47:33Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","c27ec391-f198-49d2-a60e-6a3516fb252b","Media Mister","10","2025",2500,,,"Horeca Libya"
,"621e5f45-5d41-47ba-8d1c-457c47afbdda",2026-02-17T08:42:59Z,2026-02-17T08:43:30Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","be5a7ff1-e84f-43fb-b6de-579ec9c8315d","Media Mister","8","2025",2500,,,"Code Libya"
,"6317c2d2-6c72-485d-a7f4-982c7d79ad66",2026-02-17T08:51:19Z,2026-02-17T08:51:22Z,"e771b8d5-2d78-4471-bb22-0c0d9e29a888","c27ec391-f198-49d2-a60e-6a3516fb252b","Many Chat","0","2026",55,,,"Horeca Libya"
